"month(cout)","year(cout)","book","cassette","dvd"
1,2006,532,42,0
2,2006,490,44,4
3,2006,509,51,12
4,2006,421,39,7
5,2006,585,35,12
6,2006,563,47,11
7,2006,563,32,9
8,2006,570,34,17
9,2006,521,36,4
10,2006,491,37,14
11,2006,421,30,17
12,2006,325,16,14
1,2007,329,25,5
2,2007,433,42,12
3,2007,538,35,14
4,2007,468,40,19
5,2007,458,27,16
6,2007,514,23,15
7,2007,529,29,15
8,2007,492,57,18
9,2007,474,22,14
10,2007,495,11,6
11,2007,545,27,8
12,2007,533,25,9
1,2008,615,17,12
2,2008,508,17,16
3,2008,457,33,10
4,2008,553,32,13
5,2008,473,13,9
6,2008,525,23,7
7,2008,588,23,19
8,2008,630,28,9
9,2008,647,21,12
10,2008,705,23,8
11,2008,687,30,10
12,2008,525,9,5
1,2009,707,19,5
2,2009,576,6,8
3,2009,632,24,7
4,2009,619,13,12
5,2009,577,23,7
6,2009,584,26,5
7,2009,587,8,7
8,2009,692,23,10
9,2009,494,7,7
10,2009,719,20,3
11,2009,636,8,9
12,2009,537,10,7
1,2010,571,4,6
2,2010,552,0,3
3,2010,574,7,12
4,2010,523,2,17
5,2010,498,2,5
6,2010,563,5,10
7,2010,595,0,12
8,2010,581,2,5
9,2010,519,2,2
10,2010,599,5,8
11,2010,495,1,3
12,2010,588,0,4
1,2011,594,2,11
2,2011,594,3,7
3,2011,514,0,8
4,2011,491,0,2
5,2011,417,0,3
6,2011,394,0,2
7,2011,404,0,3
8,2011,368,0,3
9,2011,296,0,2
10,2011,306,0,5
11,2011,287,0,4
12,2011,312,0,6
1,2012,304,0,4
2,2012,289,0,3
3,2012,296,0,4
4,2012,279,0,1
5,2012,257,0,1
6,2012,283,0,3
7,2012,321,0,5
8,2012,249,0,0
9,2012,258,0,2
10,2012,293,0,1
11,2012,272,0,0
12,2012,270,0,0
1,2013,330,0,1
2,2013,304,0,4
3,2013,270,0,3
4,2013,295,0,11
5,2013,249,0,5
6,2013,281,0,9
7,2013,257,0,8
8,2013,282,0,8
9,2013,294,0,6
10,2013,302,0,6
11,2013,232,0,7
12,2013,115,0,5
