"month(cout)","year(cout)","book","cassette","dvd"
1,2006,133,58,0
2,2006,108,33,0
3,2006,105,40,0
4,2006,89,24,0
5,2006,101,27,0
6,2006,121,51,0
7,2006,112,44,0
8,2006,97,37,0
9,2006,70,13,0
10,2006,110,19,0
11,2006,59,10,0
12,2006,57,8,0
1,2007,65,15,0
2,2007,95,20,0
3,2007,126,21,0
4,2007,120,34,0
5,2007,69,29,0
6,2007,82,32,0
7,2007,133,11,0
8,2007,91,26,0
9,2007,102,22,0
10,2007,77,25,0
11,2007,118,19,0
12,2007,84,31,0
1,2008,110,27,0
2,2008,106,26,0
3,2008,120,26,0
4,2008,93,22,0
5,2008,81,9,0
6,2008,104,13,0
7,2008,74,11,0
8,2008,86,10,0
9,2008,79,7,0
10,2008,90,8,0
11,2008,72,8,0
12,2008,64,6,0
1,2009,72,8,0
2,2009,68,1,0
3,2009,120,12,0
4,2009,137,8,0
5,2009,100,6,0
6,2009,147,10,24
7,2009,134,7,25
8,2009,156,6,25
9,2009,141,6,23
10,2009,135,7,23
11,2009,115,1,10
12,2009,104,9,19
1,2010,122,6,31
2,2010,112,7,9
3,2010,182,10,12
4,2010,167,4,10
5,2010,145,4,28
6,2010,130,2,17
7,2010,180,6,9
8,2010,151,2,20
9,2010,119,0,21
10,2010,137,2,9
11,2010,103,4,7
12,2010,98,6,18
1,2011,165,1,14
2,2011,111,0,20
3,2011,148,3,12
4,2011,133,4,18
5,2011,104,5,19
6,2011,127,5,7
7,2011,132,1,8
8,2011,77,1,14
9,2011,74,0,6
10,2011,84,3,7
11,2011,85,0,9
12,2011,58,1,5
1,2012,106,1,14
2,2012,86,1,9
3,2012,88,1,7
4,2012,77,0,7
5,2012,72,0,5
6,2012,82,0,11
7,2012,78,0,13
8,2012,64,0,10
9,2012,70,0,7
10,2012,63,0,5
11,2012,51,0,6
12,2012,55,0,7
1,2013,62,0,7
2,2013,75,0,10
3,2013,72,0,5
4,2013,68,0,6
5,2013,50,0,3
6,2013,67,0,2
7,2013,66,0,6
8,2013,61,0,2
9,2013,61,0,2
10,2013,50,0,11
11,2013,33,0,7
12,2013,11,0,3
