"month(cout)","year(cout)","book","cassette","dvd"
1,2006,50,44,0
2,2006,63,36,0
3,2006,76,38,0
4,2006,28,37,0
5,2006,34,48,0
6,2006,33,50,0
7,2006,46,23,0
8,2006,62,20,0
9,2006,42,37,0
10,2006,21,17,0
11,2006,29,16,0
12,2006,14,9,0
1,2007,31,19,0
2,2007,20,16,0
3,2007,30,21,0
4,2007,33,9,0
5,2007,25,13,0
6,2007,34,18,0
7,2007,29,14,0
8,2007,45,18,0
9,2007,26,14,0
10,2007,34,3,0
11,2007,16,4,0
12,2007,33,16,0
1,2008,35,11,0
2,2008,20,32,0
3,2008,30,13,0
4,2008,46,14,0
5,2008,32,3,0
6,2008,32,7,0
7,2008,45,11,0
8,2008,44,13,0
9,2008,40,13,0
10,2008,43,2,0
11,2008,19,9,0
12,2008,8,4,0
1,2009,39,7,0
2,2009,34,8,0
3,2009,41,5,0
4,2009,54,4,0
5,2009,59,7,0
6,2009,74,3,2
7,2009,78,9,22
8,2009,52,7,22
9,2009,37,10,13
10,2009,49,5,22
11,2009,26,5,11
12,2009,52,0,13
1,2010,51,2,19
2,2010,32,6,22
3,2010,52,2,15
4,2010,59,1,13
5,2010,45,1,8
6,2010,58,1,10
7,2010,43,5,4
8,2010,67,0,10
9,2010,37,6,11
10,2010,47,2,12
11,2010,34,0,12
12,2010,58,0,7
1,2011,86,0,19
2,2011,48,0,15
3,2011,65,0,20
4,2011,71,0,21
5,2011,52,0,12
6,2011,47,0,16
7,2011,54,0,15
8,2011,36,0,8
9,2011,33,0,4
10,2011,62,0,13
11,2011,37,0,9
12,2011,25,0,7
1,2012,40,0,14
2,2012,32,0,6
3,2012,45,0,10
4,2012,35,0,6
5,2012,33,0,7
6,2012,29,0,5
7,2012,34,0,9
8,2012,22,0,7
9,2012,32,0,11
10,2012,36,0,11
11,2012,19,0,5
12,2012,14,0,3
1,2013,22,0,8
2,2013,42,0,8
3,2013,50,0,7
4,2013,37,0,7
5,2013,25,0,1
6,2013,19,0,11
7,2013,33,0,11
8,2013,34,0,3
9,2013,24,0,8
10,2013,26,0,8
11,2013,10,0,11
12,2013,4,0,1
